profile,p,seed,total_links,ids_usable,time_usable,union_usable,premise_links,only_union_loss,premise_rate,only_union_loss_rate,conditional_loss
sparse,0.0,0,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,1,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,2,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,3,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,4,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,5,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,6,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,7,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,8,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,9,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,10,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,11,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,12,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,13,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,14,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,15,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,16,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,17,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,18,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.0,19,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.01,0,2400,2398,2400,2398,2398,0,0.9991666666666666,0.0,0.0
sparse,0.01,1,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.01,2,2400,2398,2400,2398,2398,0,0.9991666666666666,0.0,0.0
sparse,0.01,3,2400,2399,2400,2399,2399,0,0.9995833333333334,0.0,0.0
sparse,0.01,4,2400,2399,2400,2399,2399,0,0.9995833333333334,0.0,0.0
sparse,0.01,5,2400,2399,2400,2399,2399,0,0.9995833333333334,0.0,0.0
sparse,0.01,6,2400,2398,2400,2399,2398,0,0.9991666666666666,0.0,0.0
sparse,0.01,7,2400,2398,2400,2398,2398,0,0.9991666666666666,0.0,0.0
sparse,0.01,8,2400,2396,2400,2395,2396,1,0.9983333333333333,0.0004166666666666667,0.00041736227045075126
sparse,0.01,9,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.01,10,2400,2396,2400,2396,2396,0,0.9983333333333333,0.0,0.0
sparse,0.01,11,2400,2399,2400,2399,2399,0,0.9995833333333334,0.0,0.0
sparse,0.01,12,2400,2399,2400,2399,2399,0,0.9995833333333334,0.0,0.0
sparse,0.01,13,2400,2400,2400,2400,2400,0,1.0,0.0,0.0
sparse,0.01,14,2400,2399,2400,2399,2399,0,0.9995833333333334,0.0,0.0
