profile,p,premise_rate,premise_rate_sd,only_union_loss_rate,only_union_loss_rate_sd,conditional_loss,conditional_loss_sd
dense,0.0,1.0,0.0,0.0,0.0,0.0,0.0
dense,0.01,0.9985694444444444,0.00032211885819433936,0.0,0.0,0.0,0.0
dense,0.05,0.9908541666666667,0.0014721222243430823,2.777777777777778e-05,7.265949496952736e-05,2.804171151848385e-05,7.331926627931093e-05
dense,0.1,0.9774375,0.001436660170810664,0.00014583333333333335,0.00015264481188855135,0.000149190270626531,0.00015617605289676006
dense,0.2,0.9427847222222222,0.0025698790528600364,0.0008819444444444444,0.00036406517760046835,0.0009352443213352093,0.000385360323082016
dense,0.4,0.8442152777777778,0.004524200996377209,0.004083333333333334,0.0008116076346157678,0.004836329210020406,0.0009580275458347719
sparse,0.0,1.0,0.0,0.0,0.0,0.0,0.0
sparse,0.01,0.999375,0.0005969586661761629,2.0833333333333336e-05,9.316949906249125e-05,2.0868113522537563e-05,9.332504079715316e-05
sparse,0.05,0.9957083333333333,0.0016171368460793161,0.0003125,0.0002984793330880746,0.0003138872176056357,0.000299809730269742
sparse,0.1,0.9901458333333334,0.0026569002901966174,0.002375,0.0011073584289011753,0.0023991477541062066,0.0011191159603709485
sparse,0.2,0.9747083333333333,0.0030231199754500323,0.0130625,0.0017379230310886338,0.013402050110861761,0.001787686227844579
sparse,0.4,0.93525,0.0050984460423528725,0.06060416666666667,0.006106503280105688,0.06478363192204081,0.006337690536145027
