profile,p,pi,cls,effort,error,abstention,ed,rank
dense,0.4,0.0,intent_links,1.0027083333333333,0.0,0.0,1.0027083333333333,5
dense,0.4,0.0,approval_links,1.0027083333333333,0.0,0.0,1.0027083333333333,5
dense,0.4,0.0,correlation_ids,2.4303125,0.0,0.0,2.4303125,4
dense,0.4,0.0,source_artifacts,3.960467499999999,19.164583333333333,0.0,23.125050833333333,1
dense,0.4,0.0,timestamps,0.0,0.0,0.0,0.0,6
dense,0.4,0.0,ids_plus_timestamps,1.7018541666666667,4.033333333333333,0.0,5.7351875,3
dense,0.4,0.0,combined,3.2523470833333343,11.672916666666667,0.0,14.925263750000003,2
dense,0.4,1.0,intent_links,1.0027083333333333,0.0,0.16812500000000002,1.1708333333333334,6
dense,0.4,1.0,approval_links,1.0027083333333333,0.0,0.3855833333333333,1.3882916666666665,5
dense,0.4,1.0,correlation_ids,2.4303125,0.0,2.674625,5.1049375,4
dense,0.4,1.0,source_artifacts,3.960467499999999,19.164583333333333,3.4700416666666665,26.5950925,1
dense,0.4,1.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,1.0,ids_plus_timestamps,1.7018541666666667,4.033333333333333,2.5284166666666668,8.263604166666667,3
dense,0.4,1.0,combined,3.2523470833333343,11.672916666666667,4.301875000000001,19.22713875,2
dense,0.4,10.0,intent_links,1.0027083333333333,0.0,1.6812500000000004,2.683958333333334,6
dense,0.4,10.0,approval_links,1.0027083333333333,0.0,3.855833333333333,4.8585416666666665,5
dense,0.4,10.0,correlation_ids,2.4303125,0.0,26.746249999999996,29.176562499999996,4
dense,0.4,10.0,source_artifacts,3.960467499999999,19.164583333333333,34.70041666666666,57.825467499999995,2
dense,0.4,10.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,10.0,ids_plus_timestamps,1.7018541666666667,4.033333333333333,25.284166666666668,31.019354166666666,3
dense,0.4,10.0,combined,3.2523470833333343,11.672916666666667,43.01875000000001,57.94401375000001,1
dense,0.4,25.0,intent_links,1.0027083333333333,0.0,4.203125000000001,5.205833333333334,6
dense,0.4,25.0,approval_links,1.0027083333333333,0.0,9.639583333333333,10.642291666666665,5
dense,0.4,25.0,correlation_ids,2.4303125,0.0,66.865625,69.2959375,3
dense,0.4,25.0,source_artifacts,3.960467499999999,19.164583333333333,86.75104166666667,109.8760925,2
dense,0.4,25.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,25.0,ids_plus_timestamps,1.7018541666666667,4.033333333333333,63.21041666666667,68.94560416666667,4
dense,0.4,25.0,combined,3.2523470833333343,11.672916666666667,107.54687500000001,122.47213875000001,1
dense,0.4,50.0,intent_links,1.0027083333333333,0.0,8.406250000000002,9.408958333333334,6
dense,0.4,50.0,approval_links,1.0027083333333333,0.0,19.279166666666665,20.281875,5
dense,0.4,50.0,correlation_ids,2.4303125,0.0,133.73125,136.1615625,3
dense,0.4,50.0,source_artifacts,3.960467499999999,19.164583333333333,173.50208333333333,196.62713416666668,2
dense,0.4,50.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,50.0,ids_plus_timestamps,1.7018541666666667,4.033333333333333,126.42083333333333,132.15602083333334,4
dense,0.4,50.0,combined,3.2523470833333343,11.672916666666667,215.09375000000003,230.01901375000003,1
dense,0.4,100.0,intent_links,1.0027083333333333,0.0,16.812500000000004,17.815208333333338,6
dense,0.4,100.0,approval_links,1.0027083333333333,0.0,38.55833333333333,39.56104166666666,5
dense,0.4,100.0,correlation_ids,2.4303125,0.0,267.4625,269.8928125,3
dense,0.4,100.0,source_artifacts,3.960467499999999,19.164583333333333,347.00416666666666,370.1292175,2
dense,0.4,100.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,100.0,ids_plus_timestamps,1.7018541666666667,4.033333333333333,252.84166666666667,258.5768541666667,4
dense,0.4,100.0,combined,3.2523470833333343,11.672916666666667,430.18750000000006,445.11276375000006,1
